treeId,cellId,latitude,longitude,species
541509,1,40.72730390148332,-73.9829259779267,mulberry
2114650,1,40.727347742103845,-73.98303040580511,black locust
761836,1,40.72740042969697,-73.98315301632572,Japanese pagoda tree
2114675,1,40.72746834146414,-73.98302203624685,London planetree
2114592,1,40.728146637653225,-73.98309207463491,maidenhair tree
2114591,1,40.72809832730346,-73.98297711959293,swamp white oak
2114481,1,40.728196821854525,-73.98295088096873,swamp white oak
2114482,1,40.72822940660984,-73.98302779250713,sawtooth oak
13827541,1,40.72826973820984,-73.98312298710879,'Green Vase' Zelkova
2114484,1,40.728304191643474,-73.98320431286292,Japanese pagoda tree
2114485,1,40.72834398825864,-73.98329824727219,'Regent' Japanese pagodatree
2114594,1,40.72826409673386,-73.98337156945695,maidenhair tree
2114593,1,40.72821671619948,-73.98325882366343,pin oak
2114590,1,40.72800966774525,-73.98276615654446,Thornless honeylocust
2114480,1,40.72810921674842,-73.98274410111596,Thornless honeylocust
2114479,1,40.72805873706053,-73.98262495043541,Thornless honeylocust
2114478,1,40.72803149421189,-73.982560647744,Thornless honeylocust
2114477,1,40.728004250755184,-73.98249634360202,Thornless honeylocust
2114606,1,40.727658884156725,-73.98247241815444,pin oak
2114607,1,40.72754791790478,-73.98255309538843,London planetree
2114608,1,40.727446079767404,-73.98262713437674,London planetree
2110231,1,40.72736045992522,-73.9824610053796,Callery pear
15218053,2,40.72744304675721,-73.98240084910097,'Harvest Gold' Mongolian linden
4613397,2,40.72753713641281,-73.9823297680829,Callery pear
2110234,2,40.72759525794936,-73.98228997807887,Chinese elm
10340920,2,40.727679250058586,-73.98223239467262,Callery pear
2114469,2,40.72772494598026,-73.98209408140073,willow oak
2114468,2,40.72766188684133,-73.98191066044029,American elm
2113083,2,40.727715066755884,-73.98180344247615,London planetree
4612726,2,40.727599452872695,-73.98175176917653,silver linden
2114467,2,40.72754463809905,-73.98163136984856,swamp white oak
1085724,2,40.7276261295462,-73.98159325047065,Thornless honeylocust
13835108,2,40.727572023488825,-73.98146462491489,'Princeton' American elm
939899,2,40.72751231755343,-73.98132628825847,Thornless honeylocust
5528629,2,40.72741406517081,-73.98133089786883,eastern redbud
13827542,2,40.72736278525053,-73.98123674593722,eastern redbud
2113085,2,40.727430577519776,-73.98112959668899,Thornless honeylocust
2114463,2,40.72732822100113,-73.98110184685899,London planetree
15192703,2,40.72728770746269,-73.98101969077484,'Harvest Gold' Mongolian linden
17042429,2,40.727351775619795,-73.98092518979922,'Village Green' Zelkova
13883694,2,40.7271775705684,-73.9807983046672,eastern redbud
2113087,2,40.72725982899351,-73.98072516556584,Thornless honeylocust
10164543,2,40.727215472523945,-73.98060561251413,'Streetkeeper' Thornless honeylocust
14022435,2,40.727119549755734,-73.98063047419326,'Greenspire' Littleleaf linden
4596928,3,40.72709991932912,-73.9805745556559,eastern redbud
10163629,3,40.727162866678,-73.98049550577325,'Millstone' Japanese pagodatree
2113089,3,40.72712743821206,-73.98041159216078,Thornless honeylocust
2114457,3,40.72703019792058,-73.98044944447018,willow oak
2114456,3,40.726985159471276,-73.98034283184295,Thornless honeylocust
2114454,3,40.72689828122309,-73.98013717590854,swamp white oak
2110039,3,40.726623941553356,-73.97998800967001,maidenhair tree
6082251,3,40.726649041881394,-73.9801438255836,American elm
11772477,3,40.726562944985496,-73.9802059557953,Japanese pagoda tree
2113057,3,40.72649882957266,-73.98026152200475,American elm
2113058,3,40.72642855099268,-73.98030695478482,American elm
2113059,3,40.726353065530205,-73.98036343211821,American elm
2110038,3,40.72634698789956,-73.98019152980005,Japanese pagoda tree
2116828,3,40.726258830460836,-73.98016913758212,Japanese pagoda tree
11537802,3,40.726215877998825,-73.9800671941888,'Millstone' Japanese pagodatree
2116830,3,40.72618502738421,-73.97999397118866,Japanese pagoda tree
10162189,3,40.72611162749312,-73.98007673585366,Hardy Rubber Tree
10162574,3,40.72605978539583,-73.9799585262118,Hardy Rubber Tree
2116831,3,40.72607451877331,-73.97973169617397,maidenhair tree
2121564,3,40.72597485095017,-73.97975781505686,Thornless honeylocust
2121565,3,40.72594428330011,-73.97968521172707,goldenrain tree
2116832,3,40.72602119210197,-73.97960513512376,maidenhair tree
2121566,4,40.72589643694717,-73.97957157065758,Thornless honeylocust
2121567,4,40.72585789514536,-73.97948002647664,Green ash
2116833,4,40.72593994042466,-73.97941229603934,Callery pear
13868738,4,40.725913874741764,-73.97935043690359,'Princeton' American elm
2116835,4,40.72588169303846,-73.9792740581097,maidenhair tree
2116836,4,40.725854963679694,-73.97921062010255,maidenhair tree
11784633,4,40.725834616873286,-73.97916233236832,mulberry
2116838,4,40.725805759349406,-73.97909384488175,maidenhair tree
2116839,4,40.72577291272798,-73.97901588886361,Thornless honeylocust
2121571,4,40.72569707860116,-73.97909806783167,Japanese pagoda tree
2121570,4,40.725739608034814,-73.9791990824223,Thornless honeylocust
2121569,4,40.72577815120411,-73.97929062552629,Green ash
2121568,4,40.725803402876096,-73.97935060267054,Japanese zelkova
2121920,4,40.72523892341906,-73.97959359800629,Thornless honeylocust
2121919,4,40.72521778845957,-73.97954340847174,Thornless honeylocust
2121918,4,40.725179639644985,-73.97945281667928,Callery pear
220508,4,40.72509970137383,-73.97953266413134,Japanese pagoda tree
220507,4,40.725142604849225,-73.97962973644393,Japanese pagoda tree
221306,4,40.72518104578698,-73.97971093059239,Japanese pagoda tree
220506,4,40.725219178305025,-73.97981409578128,Japanese pagoda tree
221307,4,40.72526327349751,-73.97991273298138,Japanese pagoda tree
2114537,4,40.72530585103623,-73.98001496956918,Japanese pagoda tree
2121921,5,40.72537304194516,-73.97991209257773,Thornless honeylocust
13869137,5,40.72540055750839,-73.97997743179646,'New Horizon' Elm
13868739,5,40.72542302117375,-73.98003077805744,'New Horizon' Elm
2121924,5,40.72544681427999,-73.98008728005607,Thornless honeylocust
2121925,5,40.72547871514477,-73.98016303722848,Thornless honeylocust
2114539,5,40.72539851191615,-73.98023455845386,maidenhair tree
2121926,5,40.725539726231155,-73.98030792171649,Thornless honeylocust
2114540,5,40.72549463387746,-73.98046234873824,Thornless honeylocust
2114541,5,40.72552845027551,-73.98054248684798,Thornless honeylocust
12158964,5,40.725553951111905,-73.98059185938914,'Skyline' Thornless honeylocust
2113065,5,40.72558043937202,-73.98092158161766,Thornless honeylocust
2113066,5,40.72549859809861,-73.9809835019151,Thornless honeylocust
2113067,5,40.72538277862209,-73.98106754919966,Thornless honeylocust
2121705,5,40.7252768202015,-73.98097086041213,Thornless honeylocust
2121704,5,40.72519270586688,-73.981032602878,Thornless honeylocust
14040363,5,40.72524677550493,-73.98116624137519,'Princeton' American elm
2113063,5,40.72581049298877,-73.98075716696584,Japanese pagoda tree
11139416,5,40.72585014876095,-73.98072832878547,'Skyline' Thornless honeylocust
2113062,5,40.72589891888963,-73.98069299830426,Japanese pagoda tree
6082248,5,40.72601522085147,-73.98060303343867,American elm
2114497,5,40.72603172364296,-73.98042360520462,katsura tree
2114498,5,40.72610953472794,-73.98036701102262,maidenhair tree
589788,6,40.73213718034475,-73.98816972301927,swamp white oak
15396584,6,40.73171429830575,-73.98816443094569,Unknown
11142893,6,40.731650409182365,-73.98821088313575,common hackberry
15396586,6,40.731504376746315,-73.9883170602021,Unknown
6161891,6,40.73144351260629,-73.98836448351766,Unknown
589709,6,40.73157101844056,-73.98858118768227,Callery pear
4610222,6,40.731755988859774,-73.98845752201512,Japanese pagoda tree
4609683,6,40.73187570556552,-73.98837450042298,Japanese pagoda tree
13559089,6,40.732048553716815,-73.98849491153518,Japanese pagoda tree
10202006,6,40.732170547367424,-73.98852529626495,'Regent' Japanese pagodatree
13559088,6,40.73210716981102,-73.9886403520538,Japanese pagoda tree
589800,6,40.732235756311574,-73.98867992708509,maidenhair tree
15208734,6,40.732207588356964,-73.98886854576355,Shumard's oak
5244934,6,40.73224907655467,-73.98897646528012,'Millstone' Japanese pagodatree
13587728,6,40.732297389003726,-73.98909260148876,maidenhair tree
10651659,6,40.73235020291039,-73.98895132042418,maidenhair tree
589802,6,40.73248567662702,-73.98927257300163,maidenhair tree
13587729,6,40.73241004684438,-73.98936733742222,maidenhair tree
2143917,6,40.73245480284394,-73.98946599975098,maidenhair tree
2111167,6,40.732559759359525,-73.98993224863206,Thornless honeylocust
2111168,6,40.73249233421448,-73.98994900166811,Thornless honeylocust
2111169,7,40.732336446970024,-73.98998773517705,Thornless honeylocust
2111170,7,40.7322344998367,-73.99001306424967,Thornless honeylocust
11798272,7,40.73159179027249,-73.98942282620933,swamp white oak
11798274,7,40.7315564289053,-73.98933844598206,swamp white oak
11798273,7,40.73152596681049,-73.98926575999717,swamp white oak
580307,7,40.73143643338009,-73.98905212362817,Callery pear
580308,7,40.731403190832545,-73.98897280086926,Callery pear
580309,7,40.73137047614559,-73.98889474170575,Callery pear
164932,7,40.73088695960434,-73.98930011229486,Thornless honeylocust
589706,7,40.730779254101016,-73.9893476214403,Thornless honeylocust
589705,7,40.730834999691396,-73.98948026659586,Japanese pagoda tree
580336,7,40.73094077220778,-73.98944221874015,Thornless honeylocust
580337,7,40.73100602117483,-73.98959764213777,Callery pear
5523945,7,40.73104395152249,-73.98968798835642,common hackberry
10196379,7,40.73107021068851,-73.9897505373023,Amur maackia
580340,7,40.73109779558774,-73.98981624471634,Thornless honeylocust
14157391,7,40.73107554118175,-73.99004987102796,silver linden
14157392,7,40.73109701813766,-73.9901075122886,silver linden
14157393,7,40.73112169085975,-73.99016364371094,silver linden
10197194,7,40.7312085572044,-73.99003722417558,Kentucky yellowwood
580275,7,40.73139038516751,-73.99022354445553,Japanese zelkova
1431689,8,40.72467792839275,-73.99166169282445,swamp white oak
11142883,8,40.72437492726517,-73.99122421633437,'Green Vase' Zelkova
11142885,8,40.72436075168455,-73.99118610812044,'Green Vase' Zelkova
11142884,8,40.72432575996814,-73.99110353092871,'Green Vase' Zelkova
1431687,8,40.7244217648144,-73.99105304009808,Japanese zelkova
1431688,8,40.724452323587194,-73.9911256492378,Japanese zelkova
2118677,8,40.72468987992005,-73.99064008598434,Japanese pagoda tree
13765176,8,40.72478504824069,-73.99057182143659,Japanese zelkova
2118679,8,40.72483516398908,-73.99053587543679,maidenhair tree
2128014,8,40.72472209846553,-73.99035886024976,maidenhair tree
2128013,8,40.72463304902392,-73.9904230368384,maidenhair tree
2128012,8,40.72452234012323,-73.9905028237499,Chinese elm
11959452,8,40.724436077425324,-73.99057097637903,common hackberry
11958470,8,40.724363412794695,-73.99062657563853,common hackberry
2146547,8,40.72397027863377,-73.98997868368656,Thornless honeylocust
2146546,8,40.723938349913695,-73.98990294984246,Japanese zelkova
2118716,8,40.72386041027407,-73.98998856362738,Common linden
2118715,8,40.72391536061011,-73.99011764804867,Japanese zelkova
13841742,8,40.72402416012989,-73.99010648621592,'Green Vase' Zelkova
2146549,8,40.724060877570665,-73.99019358322336,Japanese zelkova
2118714,8,40.72396629178957,-73.99023728622996,Norway maple
2118713,8,40.72400381892415,-73.99032544214151,Thornless honeylocust
2118712,8,40.72403625346881,-73.99040163317153,Green ash
2146550,8,40.72415134284378,-73.9904081661815,American elm
11958469,8,40.72418947154053,-73.99048410556732,common hackberry
11959451,9,40.72421806927312,-73.99056317687581,common hackberry
2118710,9,40.72415660915177,-73.99068435893876,Thornless honeylocust
2118667,9,40.72410553515931,-73.9907938381883,pin oak
14529198,9,40.72405072800195,-73.99082883871401,northern red oak
2118669,9,40.7241364649043,-73.99104453026793,Japanese pagoda tree
6602589,9,40.724031801109085,-73.9911345269418,Japanese pagoda tree
5935595,9,40.72388246224332,-73.99109705633043,'Mushashino' Zelkova
2118785,9,40.723741803358486,-73.99074460674912,Green ash
10468991,9,40.72371717661132,-73.99065987949469,'Green Vase' Zelkova
2125466,9,40.72341608408425,-73.99078013239942,Thornless honeylocust
6525724,9,40.72337070683556,-73.99060895326946,Thornless honeylocust
15188103,9,40.72350644059341,-73.99057107483645,Thornless honeylocust
15936548,9,40.72347367150081,-73.99047243081566,'Northern Acclaim' Thornless honeylocust
2118781,9,40.723642356111895,-73.99040805303885,London planetree
10470334,9,40.723612962719145,-73.99031367078865,'Green Vase' Zelkova
2118779,9,40.72358039089763,-73.99020406597886,London planetree
2118778,9,40.72353024268099,-73.99013302671484,Green ash
14495910,9,40.7235733382698,-73.99010009079964,Cornelian cherry
2118777,9,40.72349890803099,-73.9900290484899,London planetree
2118776,9,40.72346838093784,-73.98992775122906,'Columnar' Ginkgo
13841743,9,40.723438471940014,-73.9898139968087,'Patriot' Elm
16487946,9,40.723375909516285,-73.98960653107433,Chinese elm
6528507,9,40.723337776312334,-73.98947500724996,Japanese zelkova
6528506,9,40.72326270267459,-73.98922839824397,Japanese zelkova
2121955,10,40.726636511227994,-73.97924731435566,Thornless honeylocust
2121956,10,40.72660018596861,-73.97916116771178,Thornless honeylocust
2121957,10,40.72656971578874,-73.9790889044383,Green ash
2121958,10,40.72653551851736,-73.9790078053334,Thornless honeylocust
2121959,10,40.72647537538999,-73.97886517377134,Thornless honeylocust
13862668,10,40.72642574396129,-73.97874746957648,'New Horizon' Elm
11790392,10,40.72639178902623,-73.97867321369083,Japanese pagoda tree
658211,10,40.72633375446239,-73.97852187204192,Thornless honeylocust
5244535,10,40.72625577790743,-73.97860318781387,Kentucky coffeetree
2110156,10,40.726288518141786,-73.97868567436532,Thornless honeylocust
2110155,10,40.72632038905071,-73.97876145438272,Kentucky coffeetree
2110154,10,40.72634827598352,-73.97882776205134,Green ash
2110153,10,40.7263841312902,-73.9789130138831,Thornless honeylocust
2110152,10,40.726413081046324,-73.97898184836365,Green ash
2110151,10,40.726453717040634,-73.97907846820306,Thornless honeylocust
2110150,10,40.72648744749134,-73.97915866842582,Thornless honeylocust
2110149,10,40.72651533362281,-73.97922497567542,Thornless honeylocust
2110148,10,40.726540564743594,-73.9792849692492,Thornless honeylocust
2110147,10,40.72658040416409,-73.97937969481043,Thornless honeylocust
2110146,10,40.726614930721915,-73.97946179073953,Thornless honeylocust
2110145,10,40.726661142809284,-73.97957167222584,Thornless honeylocust
2121954,10,40.72671661272226,-73.97943728282078,goldenrain tree
2121953,10,40.726750543108025,-73.97951775181758,Thornless honeylocust
2121952,10,40.726794319240405,-73.97962157078044,Thornless honeylocust
4604009,11,40.72684698706256,-73.97972491138196,London planetree
2121937,11,40.72695082362289,-73.97975164597717,Thornless honeylocust
4599704,11,40.726951230873944,-73.97975228400261,Thornless honeylocust
4599688,11,40.72701614934342,-73.97971233218475,Thornless honeylocust
2110043,11,40.72702197042877,-73.97986822463918,Japanese pagoda tree
2110044,11,40.72714236601168,-73.97978163499499,Japanese pagoda tree
10162570,11,40.72724157069088,-73.9797102844605,'Millstone' Japanese pagodatree
10162571,11,40.72723059455568,-73.97954885041167,'Millstone' Japanese pagodatree
2114400,11,40.72736325200179,-73.97936578903276,Thornless honeylocust
2114401,11,40.72732858815906,-73.97928379149229,Thornless honeylocust
13869139,11,40.72729499345317,-73.97920431775063,'Sterling' Silver linden
13868742,11,40.72726166298938,-73.97912547464196,'Sterling' Silver linden
2114723,11,40.727340924914394,-73.97905740497245,European hornbeam
11537804,11,40.72739592444408,-73.97917587301644,'Millstone' Japanese pagodatree
10162186,11,40.72742956105097,-73.97925611654425,Turkish hazelnut
2121525,11,40.727601490024696,-73.9794426735022,Green ash
2121524,11,40.72766185160185,-73.97939682190116,Green ash
2121523,11,40.727709143610106,-73.9793608983889,Kentucky coffeetree
