id,treeId,name,date,lat,lng,species,address,health,dbh,planted,priority,nta,note,createdAt
res_1776654637260_g4qxk,13869138,1,2026-04-20,40.72391094883201,-73.9764300564208,'Patriot' Elm,,Good,3,2023-05-12 04:00:00.0000000,3,,,2026-04-20T03:10:37.261Z
res_1776654753206_tzroo,5241733,1,2026-04-20,40.71762636831975,-73.98382565422317,'Skyline' Thornless honeylocust,,Good,7,2017-10-26 04:00:00.0000000,2,,,2026-04-20T03:12:33.207Z
