treeId,cellId,latitude,longitude,species
15112308,1,40.7101607618979,-73.98411244669073,sweetgum
15112342,1,40.71022771447802,-73.98424003230745,Kentucky yellowwood
15112356,1,40.71013494109759,-73.98397618487809,pitch pine
15112344,1,40.7101430892546,-73.98394899214452,pitch pine
15112368,1,40.710264016895245,-73.98419467236944,northern red oak
15112361,1,40.71015126180058,-73.98391223182752,pitch pine
15112329,1,40.7101503443231,-73.98388577694918,pitch pine
15112307,1,40.710270150354674,-73.98415350368498,shingle oak
15112336,1,40.71027483402561,-73.98409021461063,northern red oak
4987008,1,40.71134312242545,-73.98401556990707,swamp white oak
4987007,1,40.711352139153476,-73.98389381197386,swamp white oak
4987006,1,40.71136046371205,-73.98378735114505,swamp white oak
2143751,1,40.71145207103032,-73.98374895713556,swamp white oak
1419378,1,40.71091529247686,-73.9823194945114,Japanese pagoda tree
2143752,1,40.71152471174111,-73.9837247096464,swamp white oak
2143753,1,40.711624555312234,-73.98377321403412,London planetree
2143754,1,40.711724443191194,-73.98378726336615,London planetree
12216759,1,40.711460729322816,-73.98274501065241,London planetree
2146763,1,40.71102607211758,-73.98045496965163,pin oak
2146765,1,40.71110152828172,-73.98046381110707,pin oak
11320266,2,40.711203736536824,-73.98045467483183,'Regal Prince' Oak
11793093,2,40.71156117713699,-73.98121324966277,London planetree
2146769,2,40.711315319786394,-73.9804888641355,pin oak
11320666,2,40.71140119942071,-73.98047888348711,'Regal Prince' Oak
2146772,2,40.711453655695095,-73.98050507425276,pin oak
2146774,2,40.711532939726865,-73.98051436483559,pin oak
2146776,2,40.7116204256125,-73.98052461718665,pin oak
2146777,2,40.711780245837204,-73.98054582225951,pin oak
2146778,2,40.71184031799833,-73.98058754705598,London planetree
2137211,2,40.7113247028985,-73.97934827968425,London planetree
2146779,2,40.71184209645124,-73.98054057918355,pin oak
2137210,2,40.71136273102567,-73.97925296769183,Shumard's oak
525911,2,40.7120519727539,-73.98078437919641,London planetree
2146780,2,40.71197851153072,-73.98060394541693,London planetree
2137209,2,40.71139428778851,-73.97918329034545,shingle oak
2146781,2,40.71197671652112,-73.98055619620001,pin oak
2137212,2,40.71141870293934,-73.97914492604073,shingle oak
2146782,2,40.712063879827916,-73.98061017514513,Callery pear
2146783,2,40.71205732098905,-73.98056947163053,pin oak
2146784,2,40.71209485437739,-73.98061642822194,London planetree
2146785,2,40.71210735663678,-73.98057493684185,pin oak
2137202,3,40.71198749938837,-73.9782454956149,London planetree
